condition,PID,agent_type,tick,local_time,location,vic_area,in_own_area?,action,victim,vic_drop_loc,vic_order,score,completeness,water_time,agent_name,at_drop_off,in_order
mission_comm,PA64,nowill,83,1752076578,"(10, 18)",C2,True,take_victim,victim_1_,"(8, 8)",1,0,0.0,0.0,Bolt,False,
mission_comm,PA64,human,145,1752076585,"(1, 11)",D2,False,take_victim,victim_2_,"(9, 8)",2,0,0.0,0.0,Bolt,False,
mission_comm,PA64,nowill,191,1752076589,"(8, 8)",C2,True,drop_victim,victim_1_,"(8, 8)",1,5,0.0,0.0,Bolt,True,True
mission_comm,PA64,human,209,1752076591,"(9, 8)",D2,False,drop_victim,victim_2_,"(9, 8)",2,10,0.0625,0.0,Bolt,True,True
mission_comm,PA64,nowill,235,1752076594,"(9, 15)",C1,True,take_victim,victim_3_,"(10, 8)",3,10,0.125,0.0,Bolt,False,
mission_comm,PA64,nowill,301,1752076601,"(10, 8)",C1,True,drop_victim,victim_3_,"(10, 8)",3,15,0.125,0.0,Bolt,True,True
mission_comm,PA64,nowill,383,1752076610,"(18, 10)",B2,True,take_victim,victim_4_,"(11, 8)",4,15,0.1875,0.0,Bolt,False,
mission_comm,PA64,human,402,1752076612,"(10, 1)",A2,True,take_victim,victim_9_,"(8, 10)",9,15,0.1875,0.0,Bolt,False,
mission_comm,PA64,nowill,485,1752076620,"(11, 8)",B2,True,drop_victim,victim_4_,"(11, 8)",4,20,0.1875,0.0,Bolt,True,True
mission_comm,PA64,human,522,1752076624,"(8, 10)",A2,True,drop_victim,victim_9_,"(8, 10)",9,22,0.25,0.0,Bolt,True,False
mission_comm,PA64,nowill,523,1752076624,"(15, 12)",B1,True,take_victim,victim_5_,"(8, 9)",5,22,0.3125,0.0,Bolt,False,
mission_comm,PA64,nowill,589,1752076631,"(8, 9)",B1,True,drop_victim,victim_5_,"(8, 9)",5,27,0.3125,0.0,Bolt,True,True
