PID,condition,agent_type,agent_name,local_time,human_areas_initial,agent_areas_initial,human_areas_final,agent_areas_final,changes,final_score,final_completeness,water_time,game_time,human_vics_in_order,vics_human,vics_human_plan,vics_human_not_plan,vics_agent,compliance
PA1,mission_comm,nowill,Bolt,1749142479,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",0,80,1.0,68.59415793418884,161.20310997962952,8,8,8,0,8,1.0
PA1,mission_comm,will,Argo,1749142065,"['A1', 'B1', 'C1', 'D1']","['A2', 'B2', 'C2', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,80,1.0,0.0,266.6821050643921,8,8,8,0,8,1.0
PA10,mission_nocomm,nowill,Argo,1749803678,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,63.583744049072266,243.27724695205688,8,8,8,0,8,1.0
PA10,mission_nocomm,will,Bolt,1749804063,"['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']",-1,80,1.0,96.1977436542511,201.24199390411377,8,8,8,0,8,1.0
PA11,mission_comm,nowill,Bolt,1749806697,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",0,80,1.0,45.99549889564514,143.9362292289734,9,9,8,1,7,0.8888888888888888
PA11,mission_comm,will,Argo,1749806411,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",2,80,1.0,54.18026876449585,256.35285806655884,8,8,8,0,8,1.0
PA12,mission_nocomm,nowill,Bolt,1749814211,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,57.02032017707825,176.22444605827332,8,8,8,0,8,1.0
PA12,mission_nocomm,will,Argo,1749813770,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,80,1.0,0.0,186.96511101722717,8,8,8,0,8,1.0
PA13,mission_nocomm,nowill,Bolt,1749816601,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,70.46132707595825,158.6108582019806,8,8,8,0,8,1.0
PA13,mission_nocomm,will,Argo,1749816929,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,80,1.0,0.0,157.46550989151,8,8,8,0,8,1.0
PA14,mission_comm,nowill,Argo,1749821019,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,80,1.0,0.0,198.71408104896545,8,8,8,0,8,1.0
PA14,mission_comm,will,Bolt,1749821348,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,71,1.0,0.0,185.64110684394836,5,8,8,0,8,1.0
PA15,mission_comm,nowill,Argo,1749824424,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",0,80,1.0,36.35406804084778,151.53957200050354,8,8,8,0,8,1.0
PA15,mission_comm,will,Bolt,1749824030,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,30.917956352233887,147.65299606323242,10,10,8,2,6,0.8
PA16,mission_nocomm,nowill,Argo,1750058341,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,74,1.0,67.69660258293152,167.8409080505371,7,9,8,1,7,0.8888888888888888
PA16,mission_nocomm,will,Bolt,1750057979,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,77,1.0,0.0,177.0281720161438,7,8,8,0,8,1.0
PA17,mission_comm,nowill,Bolt,1750061998,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,74,1.0,0.0,193.7665627002716,6,8,8,0,8,1.0
PA17,mission_comm,will,Argo,1750061568,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,0.0,225.79192805290225,8,8,8,0,8,1.0
PA18,mission_comm,nowill,Argo,1750064838,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,80,1.0,0.0,220.6405942440033,8,8,8,0,8,1.0
PA18,mission_comm,will,Bolt,1750065327,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",2,80,1.0,56.13857007026672,240.9140272140503,8,8,8,0,8,1.0
PA19,mission_comm,nowill,Bolt,1750069911,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",0,74,1.0,50.406402587890625,160.07362914085388,6,8,8,0,8,1.0
PA19,mission_comm,will,Argo,1750070251,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,56,1.0,14.119965076446531,144.09357810020447,1,9,8,1,7,0.8888888888888888
