PID,pref_close,pref_dry,pref_far,pref_water
PA64,6,6,5,5
PA63,6,6,4,3
PA52,6,6,5,3
PA39,6,6,5,2
PA37,6,6,5,4
PA30,6,6,6,3
PA53,6,6,5,3
PA54,6,6,6,3
PA62,6,6,6,6
PA65,6,6,6,6
PA31,5,6,5,3
PA36,6,6,6,4
PA38,6,6,5,3
PA25,5,5,5,3
PA22,4,5,6,6
PA14,5,5,4,2
PA13,6,6,3,3
PA47,6,6,6,3
PA40,6,6,5,4
PA49,6,6,4,2
PA71,5,5,5,4
PA12,6,6,5,4
PA15,6,6,5,4
PA23,6,6,5,2
PA24,6,6,6,5
PA70,5,6,4,1
PA48,6,5,5,5
PA41,6,6,6,6
PA46,6,6,6,4
PA5,6,6,6,4
PA4,6,6,6,6
PA3,6,6,5,5
PA33,6,6,6,5
PA34,6,6,3,2
PA60,5,6,5,4
PA67,6,5,5,4
PA58,6,6,1,1
PA51,6,6,5,5
PA56,5,5,4,3
PA69,6,6,6,5
PA35,6,6,5,4
PA32,5,6,2,1
PA57,6,6,5,1
PA68,5,6,5,5
PA50,6,5,5,4
PA66,6,6,6,6
PA59,5,5,5,4
PA61,6,6,4,4
PA43,5,6,4,2
PA44,5,4,5,6
PA72,5,6,5,4
PA21,6,6,4,2
PA26,6,6,6,2
PA19,6,6,6,5
PA10,6,5,6,6
PA17,5,5,4,3
PA28,6,6,4,2
PA74,6,6,6,6
PA73,6,6,4,2
PA45,6,6,6,6
PA42,6,6,6,6
PA16,6,6,5,4
PA29,6,6,5,4
PA11,5,5,5,4
PA27,6,6,6,4
PA18,6,6,5,5
PA20,5,6,5,2
PA6,6,6,6,5
PA1,6,5,5,4
PA8,4,5,3,2
PA9,6,6,6,4
PA7,4,6,4,1
